Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
SingleQuestion,God created man in His own ________.,,CRS,1,0,,1,0,
,,,,,,greatness,,,
,,,,,,image,,,1
,,,,,,body,,,
,,,,,,goodness and likeness,,,
,,,,,,mercy.,,,
,,,,,,,,,
SingleQuestion,Creation was completed by God in ____.,,CRS,1,0,,1,0,
,,,,,,seven days,,,1
,,,,,,six days,,,
,,,,,,eight days,,,
,,,,,,five days,,,
,,,,,,two days,,,
,,,,,,,,,
SingleQuestion,The creature that God loves most is ___.,,CRS,1,0,,1,0,
,,,,,,angel,,,
,,,,,,man,,,1
,,,,,,serpent,,,
,,,,,,fish,,,
,,,,,,crocodile,,,
,,,,,,,,,
SingleQuestion,God wants us to ________.,,CRS,1,0,,1,0,
,,,,,,know him,,,
,,,,,,serve him,,,
,,,,,,love him,,,
,,,,,,worship him ,,,
,,,,,,all of the above,,,1
,,,,,,,,,
SingleQuestion,God gave man the authority to ________.,,CRS,1,0,,1,0,
,,,,,,eat every fruit in the Garden of Eden,,,
,,,,,,create his own world,,,
,,,,,,increase and multiply,,,1
,,,,,,behave the way he likes,,,
,,,,,,make another man with the use of dust,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,He created man on the ____ day.,,CRS,1,0,,1,0,
,,,,,,1st ,,,
,,,,,,4th,,,
,,,,,,7th,,,
,,,,,,6th,,,1
,,,,,,2nd,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,"How does man obey God’s instruction to ‘be fruitful and multiply, and fill the earth and subdue it…’? Through ____.",,CRS,1,0,,1,0,
,,,,,,marriage ,,,1
,,,,,,hard work,,,
,,,,,,stealing ,,,
,,,,,,laziness ,,,
,,,,,,eating more fruits,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,Man was given some ______ by God to work with.,,CRS,1,0,,1,0,
,,,,,,angels,,,
,,,,,,trees,,,
,,,,,,plants,,,
,,,,,,weapons,,,
,,,,,,intelligence,,,1
,,,,,,,,,
,,,,,,,,,
SingleQuestion,Man was made from the __ of the ground.,,CRS,1,0,,1,0,
,,,,,,trees,,,
,,,,,,dust,,,1
,,,,,,stones,,,
,,,,,,diamonds,,,
,,,,,,waters,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,God breathed into man’s ___ the breath of life and man became a living being.,,CRS,1,0,,1,0,
,,,,,,hands,,,
,,,,,,palms,,,
,,,,,,legs,,,
,,,,,,ears,,,
,,,,,,nostrils,,,1
,,,,,,,,,
,,,,,,,,,
SingleQuestion,"With the use of ___ taken from man, God created woman.",,CRS,1,0,,1,0,
,,,,,,ribs,,,
,,,,,,a rib,,,1
,,,,,,an eye,,,
,,,,,,a leg,,,
,,,,,,the skin,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,"When he saw the woman created by God, Adam said, “this at last is the bone of my ___ and flesh of my ___; she shall be called woman, because she was taken out of man.”",,CRS,1,0,,1,0,
,,,,,,bone/flesh,,,1
,,,,,,flesh/bone,,,
,,,,,,bone/bone,,,
,,,,,,hand/bone,,,
,,,,,,flesh/ear,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,God’s creations are for man’s ______.,,CRS,1,0,,1,0,
,,,,,,suffering,,,
,,,,,,pleasure,,,1
,,,,,,shame,,,
,,,,,,fall,,,
,,,,,,destruction,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,One of the things made by man is ____.,,CRS,1,0,,1,0,
,,,,,,trees,,,
,,,,,,river,,,
,,,,,,beverages,,,1
,,,,,,sky,,,
,,,,,,dry land,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,The first clothes made by man was made out of ________.,,CRS,1,0,,1,0,
,,,,,,snow,,,
,,,,,,dust,,,
,,,,,,skin,,,
,,,,,,green leaves,,,1
,,,,,,water,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,God made a clothing for man and woman with the use of ________.,,CRS,1,0,,1,0,
,,,,,,dry leaves,,,
,,,,,,trees,,,
,,,,,,dust of the ground,,,
,,,,,,polythene bags,,,
,,,,,,animal skin,,,1
,,,,,,,,,
,,,,,,,,,
SingleQuestion,Shoes can be made from ________.,,CRS,1,0,,1,0,
,,,,,,Insects,,,
,,,,,,Animal skin,,,1
,,,,,,Sand,,,
,,,,,,Wind,,,
,,,,,,Water,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,God declared the Sabbath day ________.,,CRS,1,0,,1,0,
,,,,,,holy,,,1
,,,,,,public holiday,,,
,,,,,,national day,,,
,,,,,,mid-term break,,,
,,,,,,Christmas day,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,The firmament refers to the ________.,,CRS,1,0,,1,0,
,,,,,,heavens or sky,,,1
,,,,,,earth,,,
,,,,,,light,,,
,,,,,,day and night,,,
,,,,,,stars and moon,,,
,,,,,,,,,
,,,,,,,,,
SingleQuestion,God provided the Israelites with manna when they were in ________.,,CRS,1,0,,1,0,
,,,,,,the Promised Land,,,
,,,,,,the land of Egypt,,,
,,,,,,the desert,,,1
,,,,,,Pharaoh’s palace,,,
,,,,,,Nigeria,,,